# Dt pitch noise nIonTot sigma nPixTot sigma sigTot sigma maxH sigma alpha
 1.0 3.0 10.0 94756.8129369 127.963420071 149.430855666 29.5807681484 94757.8988079 171.274393213 5984.03229046 1175.30121961 -0.00206215181046
 7.0 4.0 30.0 94752.7423281 131.261675924 466.209123009 111.809404365 94716.1435856 628.742043091 1338.73507417 285.903657135 0.0040059152876
 7.0 7.0 10.0 94764.2007117 130.627935488 176.085256876 35.529086962 94760.8710761 186.893491656 3838.47574066 782.788783877 -0.00178712793941
 1.0 9.0 20.0 94766.1717584 121.464109289 28.4521850532 6.38168491286 94768.4866657 164.013657516 9461.35298504 749.326475184 0.0334707616799
 6.0 7.0 20.0 94759.1357619 127.145871306 149.811568873 31.8506236318 94756.7759882 281.672473848 4581.69521582 918.962889282 -0.00203523064177
 3.0 1.0 10.0 94755.5066915 129.369954534 3271.91608589 3425.71404027 94658.8278096 607.465668409 115.051758754 135.568018081 12.0431475864
 5.0 10.0 30.0 94765.1378001 122.17224808 69.1540172042 14.2601199508 94746.0426413 277.827722442 6906.34798028 149279703.376 200483.56194
 3.0 2.0 30.0 94757.6432576 134.417915582 682.032412823 185.293844206 94743.7074411 793.759333104 790.105108081 330.963723201 2.32982545748
 5.0 6.0 30.0 94759.1481266 127.108063723 162.259394072 35.0161652081 94749.268845 392.417449571 4225.66676424 839.679108141 -0.00183984245385
 10.0 5.0 20.0 94761.5865069 128.248282578 462.623870006 95.8651660527 94760.3206001 454.901989896 912.935275663 540.728576792 4.30510657126
 5.0 5.0 10.0 94752.4418967 127.075803517 221.394880472 47.735999046 94758.6482973 201.535611055 3061.56064008 618.06119168 -0.00285749486956
 9.0 7.0 20.0 94763.6685432 124.249225022 229.467973257 45.5512937351 94769.6525146 326.513970669 2822.26567163 587.915794203 -0.00229435013461
 2.0 8.0 30.0 94762.4835405 125.01869937 48.4785592417 10.5399859201 94765.9552212 247.341482997 9842.6252873 1312.50637801 0.0175364865888
 2.0 1.0 20.0 94757.6799816 122.855104713 2222.14988514 1739.29338775 94693.5025182 882.044413333 427.353799143 128.347788403 0.00578125608751
 8.0 4.0 30.0 94761.2517578 124.631056082 529.025699805 120.938090382 94738.8797484 687.906107339 1035.3300105 243.323744666 0.531974850418
 4.0 5.0 20.0 94756.1501603 129.450029106 181.066021065 40.4616528847 94749.1652618 299.181607944 3930.54180667 730.305659489 -0.00155674028285
 8.0 7.0 10.0 94754.188685 131.106804235 203.358748806 41.3584618667 94755.1425462 205.349494976 2299.97634737 1359.28326591 7409.38073826
 7.0 3.0 30.0 94753.2575196 132.154513166 761.816708993 228.489872446 94806.2521143 880.647210132 567.699424033 284.289390849 2.73436002981
 1.0 7.0 30.0 94756.5009907 122.528496834 40.6653503239 8.77058390142 94771.3152218 221.77080727 25095.2016634 4134.26103365 -22.6429619298
 1.0 4.0 10.0 94764.9796947 128.711506443 94.1866942167 19.5614686087 94765.2295481 164.188989839 6562.57145897 2355.92929163 1.69555055617
 6.0 9.0 30.0 94758.8116831 123.978964313 97.7158557269 20.9148520906 94768.3367556 316.522847996 5186.53790898 2424.31056009 3.35520843397
 7.0 1.0 20.0 94764.1314648 129.709677704 1473.00796084 3667.78186489 94101.623165 1306.72864168 101.087983334 53.3664824935 2.43603366569
 1.0 5.0 20.0 94761.2113364 125.595535625 66.7486335246 13.9098854228 94756.6696411 198.7684962 9080.07972792 1369.24747051 0.0200116413866
 6.0 1.0 10.0 94762.3635086 133.684915851 1448.37682561 3924.14878961 94261.0275518 942.284709535 110.324674733 54.3992517138 -5.43135047809
 6.0 2.0 30.0 94759.8269736 123.630610937 1269.27813468 370.329524062 94715.2120238 1086.91816285 328.46614454 161.099536465 1.56402961448
 7.0 8.0 30.0 94759.0988144 129.486998344 140.937670325 28.2644256957 94754.339028 375.310942641 4897.68509143 994.533465689 -0.00233638611395
 9.0 10.0 10.0 94754.6087103 124.009760607 123.369986942 22.5395681723 94755.2200951 170.962578595 5453.39337776 1153.41554469 -0.00167099824892
 10.0 7.0 30.0 94757.5388878 127.887871639 257.595071217 49.1170120452 94779.2813976 481.785781077 2478.7541667 521.729508588 -0.00238329447716
